entity,variable,date,value
country/USA,Energy_Insights_Count_Person_HighRiskIssues,2025,12547
country/USA,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,3892
country/USA,Count_Person_IsInternetUser_PerCapita,2025,94.8
country/USA,Count_Person_BelowPovertyLevelInThePast12Months,2025,39500000
geoId/01,Count_Person_IsInternetUser_PerCapita,2025,89.2
geoId/01,Count_Person_BelowPovertyLevelInThePast12Months,2025,745000
geoId/06,Count_Person_IsInternetUser_PerCapita,2025,96.5
geoId/06,Count_Person_BelowPovertyLevelInThePast12Months,2025,4850000
geoId/48,Count_Person_IsInternetUser_PerCapita,2025,91.3
geoId/48,Count_Person_BelowPovertyLevelInThePast12Months,2025,3920000
geoId/36,Count_Person_IsInternetUser_PerCapita,2025,95.1
geoId/36,Count_Person_BelowPovertyLevelInThePast12Months,2025,2680000
geoId/12,Count_Person_IsInternetUser_PerCapita,2025,92.7
geoId/12,Count_Person_BelowPovertyLevelInThePast12Months,2025,2450000
geoId/01,Energy_Insights_Count_Person_HighRiskIssues,2025,342
geoId/01,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,89
geoId/02,Energy_Insights_Count_Person_HighRiskIssues,2025,156
geoId/02,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,67
geoId/04,Energy_Insights_Count_Person_HighRiskIssues,2025,478
geoId/04,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,134
geoId/05,Energy_Insights_Count_Person_HighRiskIssues,2025,234
geoId/05,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,78
geoId/06,Energy_Insights_Count_Person_HighRiskIssues,2025,1245
geoId/06,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,456
geoId/08,Energy_Insights_Count_Person_HighRiskIssues,2025,567
geoId/08,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,189
geoId/09,Energy_Insights_Count_Person_HighRiskIssues,2025,123
geoId/09,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,34
geoId/10,Energy_Insights_Count_Person_HighRiskIssues,2025,67
geoId/10,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,23
geoId/11,Energy_Insights_Count_Person_HighRiskIssues,2025,89
geoId/11,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,28
geoId/12,Energy_Insights_Count_Person_HighRiskIssues,2025,892
geoId/12,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,267
geoId/13,Energy_Insights_Count_Person_HighRiskIssues,2025,534
geoId/13,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,145
geoId/15,Energy_Insights_Count_Person_HighRiskIssues,2025,98
geoId/15,Energy_Insights_Count_Asset_WithRegulatoryOverlap,2025,31
